DEPARTAMENTO,SUBREGION,CODIGO_MUNICIPIO,MUNICIPIO
Amazonas,Amazonas,91263,El Encanto
Amazonas,Amazonas,91405,La Chorrera
Amazonas,Amazonas,91407,La Pedrera
Amazonas,Amazonas,91430,La Victoria
Amazonas,Amazonas,91001,Leticia
Amazonas,Amazonas,91460,Mirití - Paraná
Amazonas,Amazonas,91530,Puerto Alegría
Amazonas,Amazonas,91536,Puerto Arica
Amazonas,Amazonas,91540,Puerto Nariño
Amazonas,Amazonas,91669,Puerto Santander
Amazonas,Amazonas,91798,Tarapacá
Antioquia,Bajo Cauca,05120,Cáceres
Antioquia,Bajo Cauca,05154,Caucasia
Antioquia,Bajo Cauca,05250,El Bagre
Antioquia,Bajo Cauca,05495,Nechí
Antioquia,Bajo Cauca,05790,Tarazá
Antioquia,Bajo Cauca,05895,Zaragoza
Antioquia,Magdalena Medio,05142,Caracolí
Antioquia,Magdalena Medio,05425,Maceo
Antioquia,Magdalena Medio,05579,Puerto Berrío
Antioquia,Magdalena Medio,05585,Puerto Nare
Antioquia,Magdalena Medio,05591,Puerto Triunfo
Antioquia,Magdalena Medio,05893,Yondó
Antioquia,Nordeste,05031,Amalfi
Antioquia,Nordeste,05040,Anorí
Antioquia,Nordeste,05190,Cisneros
Antioquia,Nordeste,05604,Remedios
Antioquia,Nordeste,05670,San Roque
Antioquia,Nordeste,05690,Santo Domingo
Antioquia,Nordeste,05736,Segovia
Antioquia,Nordeste,05858,Vegachí
Antioquia,Nordeste,05885,Yalí
Antioquia,Nordeste,05890,Yolombó
Antioquia,Norte,05038,Angostura
Antioquia,Norte,05086,Belmira
Antioquia,Norte,05107,Briceño
Antioquia,Norte,05134,Campamento
Antioquia,Norte,05150,Carolina
Antioquia,Norte,05237,Don Matías
Antioquia,Norte,05264,Entrerríos
Antioquia,Norte,05310,Gómez Plata
Antioquia,Norte,05315,Guadalupe
Antioquia,Norte,05361,Ituango
Antioquia,Norte,05647,San Andrés
Antioquia,Norte,05658,San José de la Montaña
Antioquia,Norte,05664,San Pedro
Antioquia,Norte,05686,Santa Rosa de Osos
Antioquia,Norte,05819,Toledo
Antioquia,Norte,05854,Valdivia
Antioquia,Norte,05887,Yarumal
Antioquia,Occidente,05004,Abriaquí
Antioquia,Occidente,05044,Anzá
Antioquia,Occidente,05059,Armenia
Antioquia,Occidente,05113,Buriticá
Antioquia,Occidente,05138,Cañasgordas
Antioquia,Occidente,05234,Dabeiba
Antioquia,Occidente,05240,Ebéjico
Antioquia,Occidente,05284,Frontino
Antioquia,Occidente,05306,Giraldo
Antioquia,Occidente,05347,Heliconia
Antioquia,Occidente,05411,Liborina
Antioquia,Occidente,05501,Olaya
Antioquia,Occidente,05543,Peque
Antioquia,Occidente,05628,Sabanalarga
Antioquia,Occidente,05656,San Jerónimo
Antioquia,Occidente,05042,Santafé de Antioquia
Antioquia,Occidente,05761,Sopetrán
Antioquia,Occidente,05842,Uramita
Antioquia,Oriente,05002,Abejorral
Antioquia,Oriente,05021,Alejandría
Antioquia,Oriente,05055,Argelia
Antioquia,Oriente,05148,Carmen de Viboral
Antioquia,Oriente,05197,Cocorná
Antioquia,Oriente,05206,Concepción
Antioquia,Oriente,05313,Granada
Antioquia,Oriente,05318,Guarne
Antioquia,Oriente,05321,Guatapé
Antioquia,Oriente,05376,La Ceja
Antioquia,Oriente,05400,La Unión
Antioquia,Oriente,05440,Marinilla
Antioquia,Oriente,05483,Nariño
Antioquia,Oriente,05541,Peñol
Antioquia,Oriente,05607,Retiro
Antioquia,Oriente,05615,Rionegro
Antioquia,Oriente,05649,San Carlos
Antioquia,Oriente,05652,San Francisco
Antioquia,Oriente,05660,San Luis
Antioquia,Oriente,05667,San Rafael
Antioquia,Oriente,05674,San Vicente
Antioquia,Oriente,05697,Santuario
Antioquia,Oriente,05756,Sonsón
Antioquia,Suroeste,05030,Amagá
Antioquia,Suroeste,05034,Andes
Antioquia,Suroeste,05036,Angelópolis
Antioquia,Suroeste,05091,Betania
Antioquia,Suroeste,05093,Betulia
Antioquia,Suroeste,05125,Caicedo
Antioquia,Suroeste,05145,Caramanta
Antioquia,Suroeste,05101,Ciudad Bolívar
Antioquia,Suroeste,05209,Concordia
Antioquia,Suroeste,05282,Fredonia
Antioquia,Suroeste,05353,Hispania
Antioquia,Suroeste,05364,Jardín
Antioquia,Suroeste,05368,Jericó
Antioquia,Suroeste,05390,La Pintada
Antioquia,Suroeste,05467,Montebello
Antioquia,Suroeste,05576,Pueblorrico
Antioquia,Suroeste,05642,Salgar
Antioquia,Suroeste,05679,Santa Bárbara
Antioquia,Suroeste,05789,Támesis
Antioquia,Suroeste,05792,Tarso
Antioquia,Suroeste,05809,Titiribí
Antioquia,Suroeste,05847,Urrao
Antioquia,Suroeste,05856,Valparaíso
Antioquia,Suroeste,05861,Venecia
Antioquia,Urabá,05045,Apartadó
Antioquia,Urabá,05051,Arboletes
Antioquia,Urabá,05147,Carepa
Antioquia,Urabá,05172,Chigorodó
Antioquia,Urabá,05475,Murindó
Antioquia,Urabá,05480,Mutatá
Antioquia,Urabá,05490,Necoclí
Antioquia,Urabá,05659,San Juan de Urabá
Antioquia,Urabá,05665,San Pedro de Urabá
Antioquia,Urabá,05837,Turbo
Antioquia,Urabá,05873,Vigía del Fuerte
Antioquia,Valle de Aburrá,05079,Barbosa
Antioquia,Valle de Aburrá,05088,Bello
Antioquia,Valle de Aburrá,05129,Caldas
Antioquia,Valle de Aburrá,05212,Copacabana
Antioquia,Valle de Aburrá,05266,Envigado
Antioquia,Valle de Aburrá,05308,Girardota
Antioquia,Valle de Aburrá,05360,Itagüí
Antioquia,Valle de Aburrá,05380,La Estrella
Antioquia,Valle de Aburrá,05001,Medellín
Antioquia,Valle de Aburrá,05631,Sabaneta
Arauca,Arauca,81001,Arauca
Arauca,Arauca,81065,Arauquita
Arauca,Arauca,81220,Cravo Norte
Arauca,Arauca,81300,Fortul
Arauca,Arauca,81591,Puerto Rondón
Arauca,Arauca,81736,Saravena
Arauca,Arauca,81794,Tame
Archipiélago de San Andrés,Archipiélago de San Andrés,88564,Providencia y Santa Catalina
Archipiélago de San Andrés,Archipiélago de San Andrés,88001,San Andrés
Atlántico,Norte*,08001,Barranquilla
Atlántico,Norte*,08296,Galapa
Atlántico,Norte*,08433,Malambo
